make,model,part,total_paid
HYUNDAI,I40,,8568.00
HYUNDAI,IX35,CLUTCH (VARIOUS FAULTS),1833.24
HYUNDAI,SONATA,Hose/Pipe ,1465.00
HYUNDAI,I20,Brakes (Various Faults),953.74
HYUNDAI,SANTA FE,Brakes (Various Faults),888.72
HYUNDAI,I10,Gearbox (Various Faults),873.00
HYUNDAI,IX35,Clutch (Various Faults),790.50
HYUNDAI,SANTA FE,Turbocharger,770.00
HYUNDAI,IX35,Throttle Body,700.81
HYUNDAI,SANTA FE,Flywheel ,700.00
HYUNDAI,I40,Electrical ,664.80
HYUNDAI,I10,Gearbox (Various Faults),656.98
HYUNDAI,I10,Gearbox (Various Faults),643.20
HYUNDAI,I10,Heater Matrix,638.10
HYUNDAI,IX35,,614.19
HYUNDAI,I800,E.G.R Valve,600.00
HYUNDAI,IX35,Cameras (Da),590.08
HYUNDAI,I30,Flywheel ,550.00
HYUNDAI,IX35,Steering Column,519.72
HYUNDAI,I800,Air Con (Various Faults),500.00
HYUNDAI,ILOAD,Flywheel ,484.80
HYUNDAI,I30,Engine (Various Faults),483.05
HYUNDAI,I10,Air Con (Various Faults),480.00
HYUNDAI,I10,Clutch (Various Faults),470.16
HYUNDAI,I20,Ecu (Other),458.19
HYUNDAI,SANTA FE,Clutch (Various Faults),456.50
HYUNDAI,IX35,Electrical ,450.50
HYUNDAI,SANTA FE,Clutch (Various Faults),404.94
HYUNDAI,I20,Engine (Various Faults),400.00
HYUNDAI,I40,Steering Rack,399.00
HYUNDAI,I40,Electrical ,390.70
HYUNDAI,I10,Oil Leaks,360.00
HYUNDAI,SANTA FE,Clutch (Various Faults),350.00
HYUNDAI,I20,Electrical ,348.00
HYUNDAI,I30,Air Con (Various Faults),336.76
HYUNDAI,I30,Alternator,334.99
HYUNDAI,SANTA FE,Central Door Locking,323.28
HYUNDAI,SANTA FE,Radiator,323.01
HYUNDAI,COUPE,Brakes (Various Faults),300.00
HYUNDAI,TUCSON,Engine (Various Faults),300.00
HYUNDAI,I40,Brakes (Various Faults),300.00
HYUNDAI,VELOSTER,Air Con (Various Faults),299.00
HYUNDAI,IX35,Starter Motor,282.10
HYUNDAI,I40,Radiator,281.70
HYUNDAI,I10,Electrical ,278.75
HYUNDAI,I10,Air Con (Various Faults),272.14
HYUNDAI,SANTA FE,Clutch (Various Faults),269.40
HYUNDAI,SANTA FE,Radiator,262.83
HYUNDAI,SANTA FE,Electrical ,259.26
HYUNDAI,I30,Brakes (Various Faults),250.00
HYUNDAI,IX35,Clutch (Various Faults),250.00
HYUNDAI,I30,Electrical ,243.58
HYUNDAI,I40,Sensors,242.25
HYUNDAI,I10,Air Con (Various Faults),233.54
HYUNDAI,IX35,Wheel Bearing,219.90
HYUNDAI,I20,WHEEL BEARING,213.28
HYUNDAI,I20,WHEEL BEARING,213.28
HYUNDAI,I10,Clutch (Various Faults),208.13
HYUNDAI,I30,Electrical,204.65
HYUNDAI,I10,Starter Motor,202.31
HYUNDAI,SANTA FE,Alternator,202.23
HYUNDAI,I10,Cable (Other),200.00
HYUNDAI,I10,Clutch (Various Faults),200.00
HYUNDAI,I40,Radiator,192.20
HYUNDAI,I10,Suspension (Various Faults),176.82
HYUNDAI,I10,Wheel Bearing,175.00
HYUNDAI,SANTA FE,Air Bag System,169.08
HYUNDAI,I10,Clutch (Various Faults),168.55
HYUNDAI,SANTA FE,Intercooler,166.49
HYUNDAI,IX20,Window Motor,160.44
HYUNDAI,I30,Electrical ,159.04
HYUNDAI,I10,Clutch (Various Faults),155.44
HYUNDAI,I20,Sensors,152.78
HYUNDAI,I20,Abs (Various Faults),152.78
HYUNDAI,TUCSON,Exhaust Manifold,150.56
HYUNDAI,IX35,Electrical ,127.74
HYUNDAI,I30,Wheel Bearing,127.06
HYUNDAI,I30,Heater Matrix,119.49
HYUNDAI,I30,Air Con (Various Faults),115.94
HYUNDAI,TUCSON,Suspension (Various Faults),112.14
HYUNDAI,I20,Water Pump,107.49
HYUNDAI,I30,Suspension (Various Faults),103.22
HYUNDAI,GETZ,Clutch (Various Faults),100.00
HYUNDAI,SANTA FE,Drive Shaft,95.08
HYUNDAI,I800,Clutch (Various Faults),92.06
HYUNDAI,IX35,Wheel Bearing,90.00
HYUNDAI,I20,,85.68
HYUNDAI,IX35,,85.68
HYUNDAI,I800,,85.68
HYUNDAI,I20,Suspension (Various Faults),84.00
HYUNDAI,I10,Steering Column,84.00
HYUNDAI,IX35,Spring (Suspension),78.12
HYUNDAI,I30,Ignition Coil,76.28
HYUNDAI,I10,Clutch (Various Faults),75.52
HYUNDAI,VELOSTER,Spark Plugs,75.00
HYUNDAI,IX35,Clutch (Various Faults),72.99
HYUNDAI,I10,Wheel Bearing,66.99
